cusine,name,voteCount,rating,address,cusine,cost,timing
"Desserts, Bakery, Beverages",Zen - The Park,366 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹4,000",
"Biryani, North Indian, Mughlai, Kebab, Rolls",Lost in Taste,23 votes,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹500,12noon – 3am (Mon-Sun)
"Biryani, North Indian, Mughlai, Kebab, Rolls",WOW! Momo,66 votes,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹350,10:30am – 10pm (Mon-Sun)
"North Indian, Finger Food, Chinese",Midnight Bites,866 votes,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",₹400,6pm – 4am (Mon-Sun)
"North Indian, Finger Food, Chinese",SpiceKlub,1137 votes,4.2,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata","North Indian, Finger Food, Chinese","₹2,100","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)"
"Pizza, Desserts, Fast Food",Saffron - The Park,355 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","₹1,900",
"Pizza, Desserts, Fast Food",Best of Gupta's,78 votes,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","Pizza, Desserts, Fast Food",₹800,11am – 11pm (Mon-Sun)
Fast Food,Grill & Shakes,34 votes,3.5,"94, Ripon Street, Park Street Area, Kolkata",Fast Food,₹350,12noon – 12midnight (Mon-Sun)
Fast Food,Leafy Affaire The Cafe,85 votes,3.9,"10 B, Sir William Jones, Sarani, Park Street Area, Kolkata",Fast Food,₹500,8am – 9pm (Mon-Sun)
"North Indian, Mexican, Italian, Continental, Chinese",Oasis,918 votes,3.8,"33, Park Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹900,11am – 11:30pm (Mon-Sun)
"North Indian, Mexican, Italian, Continental, Chinese",The Food King,6 votes,3.1,"94A, Ground Floor, Ripon Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹250,12noon – 11:30pm (Mon-Sun)
"Pizza, Chinese, Italian, Burger, Fast Food",Kung Pao,159 votes,4.4,"57 A, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food",₹800,12:30pm – 4:30am (Mon-Sun)
"Pizza, Chinese, Italian, Burger, Fast Food",Waldorf,504 votes,3.5,"13D, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food","₹1,000",12noon – 11pm (Mon-Sun)
"Coffee, Beverages, Tea, Fast Food, Desserts",Golden Dragon,1287 votes,3.9,"40A, 57, Park Mansion, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹600,"Closed (Mon),12noon – 10:45pm (Tue-Sun)"
"Coffee, Beverages, Tea, Fast Food, Desserts",Don Giovanni's Good Fellas,967 votes,4.2,"57 A, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹800,12:30pm – 1am (Mon-Sun)
Rolls,Neelam Restaurant,16 votes,3.0,"40 B, Ground Floor, Acharya Jagadish Chandra Bose Road, Park Street Area, Kolkata",Rolls,₹300,"12noon – 4:30pm, 7:15pm – 12midnight (Mon-Sun)"
Rolls,Park Pavilion - Jameson Inn Shiraz Hotel,169 votes,3.8,"56, Park Street Area, Kolkata",Rolls,"₹1,200",24 Hours (Mon-Sun)
"Continental, Seafood, Italian, North Indian",Wabi Sabi,Cuisines:,,"24, 1st Floor, Anuj Chambers, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹950,
"Continental, Seafood, Italian, North Indian",Haldiram's Express,9 votes,2.9,"195, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹350,11am – 11pm (Mon-Sun)
"Pizza, Fast Food",Silver Spoon,51 votes,3.6,"35/1A, Mcleod Street, Park Street Area, Kolkata","Pizza, Fast Food",₹400,6pm – 3am (Mon-Sun)
"Pizza, Fast Food",Crazy 4 Cakes,Cuisines:,NEW,"7/1, Russel Street, Park Street Area, Kolkata","Pizza, Fast Food",₹200,10:30am – 9:30pm (Mon-Sun)
Finger Food,The Cave,321 votes,4.3,"12, Russel Street Area, Kolkata",Finger Food,"₹1,200",11am – 11pm (Mon-Sun)
Finger Food,The Biryani Mahal,124 votes,3.5,"54/2, Rafi Ahmed, Kidwai Road, Park Street Area, Kolkata",Finger Food,₹400,11am – 4am (Mon-Sun)
"Rolls, Chinese, Fast Food",Sams Pub,Cuisines:,,"13D, Park Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food","₹1,000",
"Rolls, Chinese, Fast Food",Rollick,411 votes,4.2,"1A, Russel Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food",₹300,"12noon – 11pm (Mon-Fri),1pm – 11:30pm (Sat-Sun)"
"Biryani, North Indian, Mughlai",UBQ by Barbeque Nation,67 votes,3.5,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹200,"12noon – 3pm, 6:30pm – 11pm (Mon-Sun)"
"Biryani, North Indian, Mughlai",Metro Icecream,56 votes,3.7,"12A, Park Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹100,10am – 10pm (Mon-Sun)
"Biryani, North Indian, Chinese",Noodle Time,217 votes,3.8,"94A, Ripon Street, Kolkata","Biryani, North Indian, Chinese",₹400,12noon – 11pm (Mon-Sun)
"Biryani, North Indian, Chinese",Parantha Pundit,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Park Street Area, Kolkata","Biryani, North Indian, Chinese",₹200,11am – 11pm (Mon-Sun)
"Italian, Continental",Chicken King N Pizza Day,6 votes,3.0,"1, KYD Street, Palace Court, Park Street Area, Kolkata","Italian, Continental",₹300,8:30am – 11pm (Mon-Sun)
"Italian, Continental",Dawat-E-Biryani,11 votes,3.2,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Italian, Continental",₹300,6pm – 4am (Mon-Sun)
Bengali,Baskin Robbins,155 votes,3.9,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata",Bengali,₹300,10:30am – 9:30pm (Mon-Sun)
Bengali,The Firangi Food Smith,56 votes,3.6,"12B/2, Park Street Area, Kolkata",Bengali,₹750,8am – 12midnight (Mon-Sun)
"North Indian, Awadhi, Bengali",The Accord,141 votes,3.7,"The Corporate, 4, Royd Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹500,7:30am – 11pm (Mon-Sun)
"North Indian, Awadhi, Bengali",Rahmania,386 votes,3.5,"56, Park Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹700,12noon – 10:30pm (Mon-Sun)
"Chinese, Fast Food, North Indian, Mexican",Happiness Station,10 votes,3.3,"Metro Plaza Mall, Near Tata Steel, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹300,11:30am – 9:30pm (Mon-Sun)
"Chinese, Fast Food, North Indian, Mexican",Biryanishk By The Biryani Company,5 votes,2.9,"43, Mirza Ghalib Street, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹450,11am – 12midnight (Mon-Sun)
"Healthy Food, Salad, Juices",Dreamland Restaurant & Bar,89 votes,3.7,"83A, Park Street, Park Street Area, Kolkata","Healthy Food, Salad, Juices",₹500,12noon – 10pm (Mon-Sun)
"Healthy Food, Salad, Juices",MO2,7 votes,3.1,Delivery Only,"Healthy Food, Salad, Juices",₹150,12noon – 11pm (Mon-Sun)
"Chinese, North Indian, Continental",The Street - The Park,388 votes,3.8,"The Park, 17, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹900,
"Chinese, North Indian, Continental",Floriana,144 votes,3.5,"13D, Middleton Row, Park Street Area, Kolkata","Chinese, North Indian, Continental","₹1,000",11am – 11pm (Mon-Sun)
"Chinese, Thai, Japanese",Magnolia,593 votes,3.4,"12K, Park Street, Near Park Hotel, Park Street Area, Kolkata","Chinese, Thai, Japanese","₹1,200",11am – 10:45pm (Mon-Sun)
"Chinese, Thai, Japanese",Saiji Confectionary,32 votes,3.4,"77/1, Park Street, Park Street Area, Kolkata","Chinese, Thai, Japanese",₹150,10am – 6pm (Mon-Sun)
"North Indian, Chinese, Fast Food",Bombay Toastee,34 votes,4.1,"18 G, Municipal Corporation, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,8am – 11pm (Mon-Sun)
"North Indian, Chinese, Fast Food",Ramesh Chilla Wala,6 votes,3.1,"Russel Street, Near Bombay Dyeing, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹100,4pm – 10pm (Mon-Sun)
"Tibetan, Momos",The Good Food Cafe,10 votes,3.2,"18G, Park Street Area, Kolkata","Tibetan, Momos","₹1,200",8am – 9pm (Mon-Sun)
"Tibetan, Momos",The Hot Kati Roll,7 votes,3.1,"23, Mcleod Street, Park Street Area, Kolkata","Tibetan, Momos",₹250,12noon – 3am (Mon-Sun)
"Chinese, Pizza, Burger",Universal Cafe,10 votes,3.2,"23 A, Royd Street, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹300,12noon – 11pm (Mon-Sun)
"Chinese, Pizza, Burger",Arambagh Restaurant,4 votes,3.0,"45, Mirza Ghalib Street, Kolkata, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹250,11am – 11pm (Mon-Sun)
North Indian,Shireen Biryani And Fast Food,6 votes,3.0,"40/1, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",North Indian,₹350,12:30pm – 12midnight (Mon-Sun)
North Indian,Rajnigandha Bar,10 votes,3.2,"13D, Middleton Row, Park Street Area, Kolkata",North Indian,"₹1,300",11am – 11pm (Mon-Sun)
"North Indian, Bengali",Yippee Point,35 votes,3.4,"77/1,  Park Street Area, Kolkata","North Indian, Bengali",₹150,"11am – 8pm (Mon-Sat),Closed (Sun)"
"North Indian, Bengali",Grill Sandwich & Juice,35 votes,3.6,"23/A, Royd Street, Park Street Area, Kolkata","North Indian, Bengali",₹400,"8am – 9pm (Mon-Sat),Closed (Sun)"
"North Indian, Chinese, Fast Food",Cafe Coffee Day Square,79 votes,3.4,"55 Park Street, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹700,8am – 12midnight (Mon-Sun)
"North Indian, Chinese, Fast Food",Danish Biryani Hub,18 votes,3.3,"189, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,11am – 11pm (Mon-Sun)
"Beverages, Fast Food",Wow Chicken,11 votes,3.3,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata","Beverages, Fast Food",₹200,12noon – 4am (Mon-Sun)
"Beverages, Fast Food",Schezwan Kitchen,13 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Beverages, Fast Food",₹250,6pm – 4am (Mon-Sun)
"Salad, Italian, Burmese, Mexican",Burger Bites,52 votes,3.5,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹200,6pm – 4am (Mon-Sun)
"Salad, Italian, Burmese, Mexican",Silver Grill,324 votes,2.3,"18E, Park Street, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹800,11am – 11pm (Mon-Sun)
"Chinese, North Indian, Continental",Suruchi,45 votes,3.5,"89, Elliot Road, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹200,"10:30am – 5:45pm (Mon-Fri),10:30am – 4pm..."
"Chinese, North Indian, Continental",Starlit Garden Bar,61 votes,3.5,"31, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹500,12noon – 11pm (Mon-Sun)
"Chinese, Bengali",The Roll Shop,33 votes,3.2,"31, Park Street, Park Street Area, Kolkata","Chinese, Bengali",₹250,11am – 11pm (Mon-Sun)
"Chinese, Bengali",Sweet Temptations,8 votes,3.1,"Flat 2B, 2nd Floor, Sitar Building, Commissariate Road, Hastings, Park Street Area, Kolkata","Chinese, Bengali",₹150,10am – 10pm (Mon-Sun)
"Chinese, Thai",Balaram Mullick & Radharaman Mullick Sweets,495 votes,4.1,"22, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,10am – 9pm (Mon-Sun)
"Chinese, Thai",Baba Fast Food,43 votes,3.4,"27B, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,12noon – 10:30pm (Mon-Sun)
"Chinese, Asian",Deja Bowl,34 votes,3.6,Delivery Only,"Chinese, Asian",₹300,12noon – 11:30pm (Mon-Sun)
"Chinese, Asian",The Pancake Centre,30 votes,3.6,"Food Court, Metro Shopping Centre, 1 Ho Chi Minh Sarani, Park Street Area, Kolkata","Chinese, Asian",₹200,12noon – 9:30pm (Mon-Sun)
"Chinese, Cantonese",Middy's Chef Roll,50 votes,3.6,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Chinese, Cantonese",₹250,6pm – 4am (Mon-Sun)
"Chinese, Cantonese",Kaveh - House Of Nawabs,6 votes,3.2,"85, Park Street Area, Kolkata","Chinese, Cantonese",₹400,12noon – 2am (Mon-Sun)
"Italian, Thai, Chinese, Burger",Adraq,17 votes,3.4,"SilverKey Executive Stays 30334, 163 A, Terrace Floor, Park Street Main Road, Park Street Area, Kolkata","Italian, Thai, Chinese, Burger",₹300,11am – 11pm (Mon-Sun)
"Italian, Thai, Chinese, Burger",Rise And Shine,Cuisines:,-,Delivery Only,"Italian, Thai, Chinese, Burger",₹400,8am – 9pm (Mon-Sun)
"North Indian, Mughlai, Biryani",Haan 'D' Biryani,332 votes,3.8,"55, Ripon Street, Park Street Area, Kolkata","North Indian, Mughlai, Biryani",₹400,1pm – 10pm (Mon-Sun)
"North Indian, Mughlai, Biryani",Ilish Truly Bong Restaurant,137 votes,4.0,"83 B, Park Street Area, Kolkata","North Indian, Mughlai, Biryani","₹1,200",12noon – 11pm (Mon-Sun)
"North Indian, Continental, South Indian, Chinese",Juice+,29 votes,3.2,"94, Ripon Street, Park Street Area, Kolkata","North Indian, Continental, South Indian, Chinese",₹200,11am – 11pm (Mon-Sun)
"North Indian, Continental, South Indian, Chinese",The Biryani Inc.,49 votes,4.2,Delivery Only,"North Indian, Continental, South Indian, Chinese",₹400,12noon – 1am (Mon-Sun)
"Italian, Continental",Lazeez Express,Cuisines:,-,"Hotel Royal Garden, 163A, Park Street Main Road, Park Street Area, Kolkata","Italian, Continental",₹500,12noon – 4am (Mon-Sun)
"Italian, Continental",Chopstick,Cuisines:,-,"67, Elliot Road, Park Street Area, Kolkata","Italian, Continental",₹150,11am – 11pm (Mon-Sun)
"North Indian, Street Food, Bengali",The Co Dee Empresa Hotel,Cuisines:,-,"12/2A, KYD Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹100,7:30am – 10:30pm (Mon-Sun)
"North Indian, Street Food, Bengali",The Fast Food Center,Cuisines:,-,"1, Camac Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹200,11am – 10pm (Mon-Sun)
Chinese,Subway,535 votes,3.8,"57A, Park Mansion, Park Street Area, Kolkata",Chinese,₹500,12noon – 10pm (Mon-Sun)
Chinese,Burger Bros,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata",Chinese,₹350,8am – 9pm (Mon-Sun)
"Bakery, Desserts, Fast Food",Tasty Tales,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Bakery, Desserts, Fast Food",₹350,"8am – 9pm (Mon-Sat),11am – 9pm (Sun)"
"Bakery, Desserts, Fast Food",The Cafe Harmony,Cuisines:,-,"4, Royd Street, Opposite Royd Nursing Home, Park Street Area, Kolkata","Bakery, Desserts, Fast Food","₹1,000",12noon – 10:30pm (Mon-Sun)
"Chinese, North Indian, Continental",The Food Corner,Cuisines:,,"1, Waliullah Lane, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹150,
"Chinese, North Indian, Continental",Pizza Gully,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Tata Centre, Metro Shopping Plaza, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,12noon – 11pm (Mon-Sun)
"Biryani, North Indian",Uddta Punjab Dhaba,233 votes,4.2,"57 A, 1st Floor, Park Street Area, Kolkata","Biryani, North Indian",₹650,12noon – 4am (Mon-Sun)
"Biryani, North Indian",The Burger Factory,71 votes,4.1,"57 A, Park Street Area, Kolkata","Biryani, North Indian",₹500,12noon – 4am (Mon-Sun)
"North Indian, Chinese, Continental",Bhikharam Chandmal,76 votes,3.4,"46 C, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata","North Indian, Chinese, Continental",₹200,8am – 9pm (Mon-Sun)
"North Indian, Chinese, Continental",Wok This Way,Cuisines:,-,"20, 1st & 2nd Floor, Mirza Ghalib Street Park Street Area, Kolkata","North Indian, Chinese, Continental",₹250,12noon – 11pm (Mon-Sun)
"Ice Cream, Desserts",Momma's Soup,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Ice Cream, Desserts",₹350,8am – 9pm (Mon-Sun)
"Ice Cream, Desserts",Kolkata Taj Biryani,6 votes,3.3,"110/A, Ground Floor, Ripon Street, Park Street Area, Kolkata","Ice Cream, Desserts",₹150,11am – 11pm (Mon-Sun)
"North Indian, Biryani, Kebab, BBQ, Desserts",Bombay Restaurant,Cuisines:,NEW,"Ground Floor, 114A, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹400,11am – 11pm (Mon-Sun)
"North Indian, Biryani, Kebab, BBQ, Desserts",Naasta On Wheels,Cuisines:,NEW,"8/1A, Little Russel Street, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹500,11am – 11pm (Mon-Sun)
Ice Cream,Zam Zam,1728 votes,4.3,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",Ice Cream,₹700,12noon – 12midnight (Mon-Sun)
Ice Cream,Mezban,2305 votes,3.8,"6, Ripon Street, Near Triangular Park, Wellesley, Kolkata",Ice Cream,₹500,10am – 12:59am (Mon-Sun)
Chinese,Blue And Beyond,2515 votes,3.9,"The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",Chinese,"₹1,600",12noon – 11pm (Mon-Sun)
Chinese,The Awadh Restaurant,1837 votes,4.2,"17, Park Circus Area, Kolkata",Chinese,₹900,11am – 12midnight (Mon-Sun)
"North Indian, Beverages",Chowman,1169 votes,4.4,"3, Ho Chi Minh Sarani, Little Rusell Street Post Office, Camac Street Area, Kolkata","North Indian, Beverages","₹1,000",12noon – 10:30pm (Mon-Sun)
"North Indian, Beverages",Oh! Calcutta,1910 votes,4.4,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","North Indian, Beverages","₹1,800","12:45pm – 3pm, 7pm – 11pm (Mon-Fri),12noon –..."
"Fast Food, North Indian, Chinese",Royal Indian Restaurant,2010 votes,4.1,"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Fast Food, North Indian, Chinese",₹700,11am – 1am (Mon-Sun)
"Fast Food, North Indian, Chinese",Saima Restaurant,1502 votes,3.6,"59E, Chowringhee Road, Near Rabindra Sadan Metro, Elgin, Kolkata","Fast Food, North Indian, Chinese",₹500,10:30am – 10:30pm (Mon-Sun)
"Biryani, North Indian, Fast Food",TGI Fridays,2398 votes,4.2,"Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Biryani, North Indian, Fast Food","₹1,800",12noon – 12midnight (Mon-Sun)
"Biryani, North Indian, Fast Food",ACS Chinese Flavour,845 votes,3.6,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata","Biryani, North Indian, Fast Food",₹350,12noon – 11pm (Mon-Sun)
